epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,148.178,0.62202,0.64872,0.91078,0.96298,1,0.995,0.8419,0.70692,0.40044,0.95906,0.000462065,0.000462065,0.000462065
61,151.638,0.6017,0.64977,0.9109,0.96217,1,0.995,0.84137,0.72477,0.39922,0.96519,0.000451066,0.000451066,0.000451066
62,154.404,0.58766,0.64299,0.89754,0.97276,1,0.995,0.82826,0.74733,0.39343,0.97281,0.000440067,0.000440067,0.000440067
63,156.777,0.56789,0.63231,0.91748,0.94128,1,0.995,0.82694,0.77679,0.43098,0.96858,0.000429068,0.000429068,0.000429068
64,158.854,0.63155,0.63527,0.9061,0.91826,1,0.995,0.81927,0.78464,0.42907,0.96276,0.000418069,0.000418069,0.000418069
65,160.915,0.60449,0.65125,0.90326,0.92983,1,0.995,0.82538,0.76032,0.41178,0.96053,0.00040707,0.00040707,0.00040707
66,162.914,0.59347,0.61897,0.91814,0.96129,1,0.995,0.82538,0.72729,0.38002,0.94722,0.000396071,0.000396071,0.000396071
67,165.808,0.56872,0.59122,0.89212,0.95449,1,0.995,0.83034,0.73418,0.38226,0.9589,0.000385073,0.000385073,0.000385073
68,168.858,0.61333,0.63395,0.90936,0.95222,1,0.995,0.81162,0.74681,0.3941,0.97926,0.000374074,0.000374074,0.000374074
69,170.845,0.60179,0.61072,0.89878,0.96005,1,0.995,0.81051,0.74242,0.38389,0.98182,0.000363075,0.000363075,0.000363075
70,172.934,0.59443,0.60092,0.91263,0.97358,1,0.995,0.84372,0.72349,0.37375,0.97081,0.000352076,0.000352076,0.000352076
71,174.999,0.5417,0.57507,0.87632,0.97349,1,0.995,0.81549,0.73593,0.36291,0.98022,0.000341077,0.000341077,0.000341077
72,177.091,0.56055,0.59939,0.90613,0.97461,1,0.995,0.81106,0.75682,0.36466,0.9804,0.000330078,0.000330078,0.000330078
73,179.401,0.56347,0.59026,0.89798,0.97362,1,0.995,0.81545,0.7618,0.36347,0.97414,0.000319079,0.000319079,0.000319079
74,182.449,0.54923,0.56232,0.88698,0.97347,1,0.995,0.83305,0.74317,0.36758,0.96626,0.00030808,0.00030808,0.00030808
75,184.887,0.50899,0.54894,0.88168,0.97436,1,0.995,0.82038,0.77425,0.36089,0.97501,0.000297081,0.000297081,0.000297081
76,187.021,0.54541,0.57818,0.88621,0.97984,1,0.995,0.83261,0.76792,0.34602,0.97095,0.000286083,0.000286083,0.000286083
77,189.167,0.52296,0.53397,0.88108,0.98119,1,0.995,0.83261,0.77047,0.35049,0.97162,0.000275084,0.000275084,0.000275084
78,191.244,0.53284,0.55287,0.8827,0.97863,1,0.995,0.83261,0.76323,0.34976,0.97028,0.000264085,0.000264085,0.000264085
79,193.469,0.56088,0.5639,0.90678,0.9722,1,0.995,0.83261,0.75942,0.35522,0.97451,0.000253086,0.000253086,0.000253086
80,196.528,0.51453,0.52376,0.87135,0.97061,1,0.995,0.82095,0.78172,0.36184,0.98594,0.000242087,0.000242087,0.000242087
81,199.105,0.58103,0.61078,0.88734,0.97116,1,0.995,0.82095,0.79715,0.37077,0.99513,0.000231088,0.000231088,0.000231088
82,201.103,0.5447,0.55154,0.88829,0.97454,1,0.995,0.8077,0.7934,0.37375,1.01031,0.000220089,0.000220089,0.000220089
83,203.08,0.5216,0.53487,0.87188,0.97756,1,0.995,0.81872,0.77054,0.36032,1.01375,0.00020909,0.00020909,0.00020909
84,205.215,0.55547,0.53271,0.88357,0.97833,1,0.995,0.82704,0.7692,0.35182,1.00857,0.000198091,0.000198091,0.000198091
85,207.18,0.49949,0.50808,0.86066,0.97725,1,0.995,0.82704,0.77287,0.35078,1.00514,0.000187092,0.000187092,0.000187092
86,209.941,0.49551,0.51024,0.91402,0.9753,1,0.995,0.82704,0.77545,0.34123,0.99433,0.000176094,0.000176094,0.000176094
87,212.866,0.50647,0.49697,0.86906,0.97417,1,0.995,0.82592,0.7665,0.34232,0.97588,0.000165095,0.000165095,0.000165095
88,214.881,0.51908,0.49538,0.88423,0.97217,1,0.995,0.83088,0.75403,0.33662,0.96742,0.000154096,0.000154096,0.000154096
89,216.994,0.46202,0.49374,0.85043,0.97101,1,0.995,0.83088,0.74938,0.33896,0.96805,0.000143097,0.000143097,0.000143097
90,219.107,0.45437,0.48397,0.8611,0.96991,1,0.995,0.83264,0.73916,0.33341,0.97073,0.000132098,0.000132098,0.000132098
91,224.014,0.50822,0.6499,0.83265,0.9702,1,0.995,0.82812,0.72714,0.3318,0.96187,0.000121099,0.000121099,0.000121099
92,227.478,0.43414,0.60136,0.79383,0.9698,1,0.995,0.83802,0.7335,0.34162,0.95203,0.0001101,0.0001101,0.0001101
93,229.617,0.42357,0.55955,0.839,0.97035,1,0.995,0.85296,0.74366,0.34462,0.95348,9.91012e-05,9.91012e-05,9.91012e-05
94,231.661,0.42922,0.58183,0.81666,0.97039,1,0.995,0.85076,0.73718,0.34249,0.95361,8.81023e-05,8.81023e-05,8.81023e-05
95,233.696,0.44643,0.59178,0.81048,0.96967,1,0.995,0.83086,0.71775,0.34043,0.95213,7.71034e-05,7.71034e-05,7.71034e-05
96,235.683,0.43902,0.59759,0.81993,0.97451,1,0.995,0.85747,0.72143,0.33967,0.96223,6.61045e-05,6.61045e-05,6.61045e-05
97,238.14,0.44845,0.56659,0.8183,0.97575,1,0.995,0.84756,0.72388,0.34084,0.96787,5.51056e-05,5.51056e-05,5.51056e-05
98,241.091,0.40467,0.5407,0.83246,0.97795,1,0.995,0.84757,0.72937,0.34104,0.97334,4.41067e-05,4.41067e-05,4.41067e-05
99,243.415,0.41309,0.54253,0.82953,0.97739,1,0.995,0.84757,0.73021,0.34125,0.97256,3.31078e-05,3.31078e-05,3.31078e-05
100,245.535,0.43425,0.5521,0.81792,0.97734,1,0.995,0.84757,0.73091,0.34169,0.97141,2.21089e-05,2.21089e-05,2.21089e-05
